ItemCode,ItemDescription,PartDescription,IsExpiryDateRequired,MinPrice,MaxPrice,Brand,Status,ExpiryAgeMonths,CurrentStock,SupplierID
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,FISHER&PAYKEL Hose Heater Wire 900MR751,No,378.00,434.70,Fisher & Paykel,Active,0.00,8,448
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,FISHER & PAYKEL HOSE HEATER WIRE ASSY 900MR510,No,230.00,264.50,Fisher & Paykel,Active,0.00,0,449
BP0004,Cables/ Lead Wires (or any part of it),VALLEYLAB Cable Bipolar Active,No,450.00,517.50,VALLEYLAB,Active,0.00,3,450
BP0004,Cables/ Lead Wires (or any part of it),Cable Bipolar Forceps,No,499.00,573.85,VALLEYLAB,Active,0.00,0,451
BP0004,Cables/ Lead Wires (or any part of it),VALLEYLAB ESU HANDSEITCHING-SETCH PENCIL E2100,No,310.00,356.50,VALLEYLAB,Active,0.00,2,452
BP0025,Sensors/ Detectors,Finger Probe Spo2 Sensor,No,580.00,667.00,CRITICARE,Active,0.00,0,453
BP0001,Batteries/ UPS,Nicked Rechargeable Battery 16Vdc 2.5Ah,No,140.00,161.00,Propaq,Active,0.00,0,454
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Holder Bulb Assy,No,260.00,299.00,OHMEDA,Active,0.00,0,455
BP0004,Cables/ Lead Wires (or any part of it),Oxylead Interconnect Cable,No,45.50,52.33,OHMEDA,Active,0.00,0,456
BP0025,Sensors/ Detectors,Spo2 Finger Sensor,No,204.50,235.18,SIMED,Active,0.00,0,457
BP0025,Sensors/ Detectors,"Spo2 Probe,Neonate,Stater Kit",No,1346.00,1547.90,Datascope,Active,0.00,0,458
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,"Hose Connect, Trio",No,480.00,552.00,Datascope,Active,0.00,0,459
BP0006,Cuffs,Cuff Infant,No,15.00,17.25,Datascope,Active,0.00,25,460
BP0011,Equipment Specific Parts,NIHON KOHDEN Paper Shaft AAA-20473 (20013),No,50.00,57.50,Nihon Kohden,Active,0.00,3,461
BP0011,Equipment Specific Parts,NIHON KOHDEN 6851K Strap 38cm,No,3.60,4.14,Nihon Kohden,Active,0.00,10,462
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Cover For Battery,No,175.00,201.25,HUNTLEIGH,Active,0.00,1,463
BP0025,Sensors/ Detectors,NOVAMETRIX SPO2 FINGER SENSOR Y,No,620.00,713.00,NOVAMETRIX,Active,0.00,3,464
BP0025,Sensors/ Detectors,"Spo2 Finger Sensor, 8744",No,10.00,11.50,NOVAMETRIX,Active,0.00,0,465
BP0025,Sensors/ Detectors,Reusable Oxysnap Finger Sensor,No,1520.30,1748.35,NOVAMETRIX,Active,0.00,0,466
BP0025,Sensors/ Detectors,Spo2 Adult Finger Tranducer,No,350.00,402.50,Hewlett Packard,Active,0.00,3,467
BP0025,Sensors/ Detectors,Pead Spo 2 Sensor,No,450.00,517.50,Hewlett Packard,Active,0.00,0,468
BP0025,Sensors/ Detectors,SPO2 Finger Sensor Adult,No,900.00,1035.00,Hewlett Packard,Active,0.00,0,469
BP0001,Batteries/ UPS,Rechargeable Battery 12V 1.2Ah,No,80.00,92.00,BAXTER,Active,0.00,0,470
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,"Upper Casing,Clamp&Sheet",No,671.00,771.65,TOP,Active,0.00,0,471
BP0022,Power Supply Unit (PCB or Module)/ Transfomer,Power Supply Regulator,No,250.00,287.50,TOP,Active,0.00,0,472
BP0002,Blankets/ Mattresses,RIPPLE MATTRESS INDIVIDUAL CELL,No,560.00,644.00,HUNTLEIGH,Active,0.00,0,473
BP0007,Diaphragms/ Pumps,Diapharm,No,205.00,235.75,HUNTLEIGH,Active,0.00,14,474
BP0011,Equipment Specific Parts,Silencer Bag Assy,No,75.00,86.25,HUNTLEIGH,Active,0.00,7,475
BP0023,PPM/ Service/Maintenance/ Repair Kits,"5K PREVENTIVE MAINTENANCE KIT,VELA",No,1305.00,1500.75,Viasys Vela,Active,0.00,0,476
BP0025,Sensors/ Detectors,Finger Probe Adult 1.5Ft/Adult Reuble Oximeter Sensor,No,600.00,690.00,DOLPHIN,Active,0.00,0,477
BP0004,Cables/ Lead Wires (or any part of it),Extension Cable 8Ft(2.4M),No,570.00,655.50,DOLPHIN,Active,0.00,0,478
BP0001,Batteries/ UPS,Rechargeable Battery,No,260.00,299.00,DATASCOPE,Active,0.00,0,479
BP0001,Batteries/ UPS,Battery,No,300.00,345.00,DATASCOPE,Active,0.00,0,480
BP0004,Cables/ Lead Wires (or any part of it),PHILIPS Spo2 Sensor Adapter Cable M1940A,No,328.00,377.20,VIRDIA,Active,0.00,2,481
BP0001,Batteries/ UPS,Rechargeable Battery 6V 12Ah,No,80.00,92.00,GRASEBY,Active,0.00,12,482
BP0003,Bulbs/ Lamps,PHOTHOTHERAPY LAMP BULB ULTRAVIOLET UV-AL 100W/13,No,290.00,333.50,Daavlin,Active,0.00,0,483
BP0003,Bulbs/ Lamps,PHOTHOTHERAPY LAMP BULB ULTRAVIOLET UV-B TL 100W/12,No,350.00,402.50,Daavlin,Active,0.00,0,484
BP0026,Solenoids/ Valves/ Gauges,RP VALVE BODY ASSEMBLY,No,80.00,92.00,HUNTLEIGH,Active,0.00,0,485
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Handle Bracket Set,No,175.00,201.25,AEROCARE,Active,0.00,0,486
BP0011,Equipment Specific Parts,Compressor,No,600.00,690.00,AEROCARE,Active,0.00,0,487
BP0011,Equipment Specific Parts,Air Reservoir,No,55.00,63.25,Bantex,Active,0.00,0,488
BP0007,Diaphragms/ Pumps,Pumping Set,No,63.60,73.14,Bantex,Active,0.00,0,489
BP0013,Heater Elements,Element Heating,No,340.00,391.00,Haraeus,Active,0.00,1,490
BP0011,Equipment Specific Parts,Sl 6V 20W Toeimeter,No,288.00,331.20,NIDEK,Active,0.00,0,491
BP0003,Bulbs/ Lamps,Bulb 12 V 30 W,No,24.00,27.60,Nikon,Active,0.00,5,492
BP0004,Cables/ Lead Wires (or any part of it),Patient Extension Cable 8',No,580.00,667.00,IVY,Active,0.00,4,493
BP0024,Printed Circuit Boards (PCB; Other than Power Supply),"Pcb,Display",No,100.00,115.00,JH-ENRAF,Active,0.00,0,494
BP0024,Printed Circuit Boards (PCB; Other than Power Supply),"Pcb,Main",No,38.00,43.70,JH-ENRAF,Active,0.00,0,495
BP0011,Equipment Specific Parts,PARI Automizer Upper Section,No,180.00,207.00,PARI,Active,0.00,1,496
BP0011,Equipment Specific Parts,Nozzle Complete,No,280.00,322.00,PARI,Active,0.00,0,497
BP0006,Cuffs,Cuff Single Tube Child,No,30.00,34.50,Common,Active,0.00,12,498
BP0026,Solenoids/ Valves/ Gauges,Terumo Vacuum Valve,No,1090.00,1253.50,TERUMO,Active,0.00,0,499
BP0027,Switchs/ Knobs/Buttons,Sheet Switch COLIN BP8800,No,450.00,517.50,COLIN,Active,0.00,5,500
BP0001,Batteries/ UPS,Battery 7.2V,No,80.00,92.00,Seca,Active,0.00,0,501
BP0001,Batteries/ UPS,IP BATTERY 34508210,No,80.00,92.00,Common,Active,0.00,0,502
BP0003,Bulbs/ Lamps,BULB KEELER OPTHALMOSCOPE BULB 2.8V,No,105.00,120.75,Common,Active,0.00,5,503
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Tube Pressure C/W Rubber,No,145.00,166.75,Common,Active,0.00,12,504
BP0001,Batteries/ UPS,Battery 6V,No,80.00,92.00,Mindray,Active,0.00,0,505
BP0001,Batteries/ UPS,BATTERY MINDRAY PM600 LC-R061R3P,No,75.00,86.25,Mindray,Active,0.00,14,506
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Case Bottom,No,328.00,377.20,AGILENT,Active,0.00,0,507
BP0028,Transducers/ Probes,Probe Aga,No,2132.00,2451.80,HITACHI,Active,0.00,0,508
BP0022,Power Supply Unit (PCB or Module)/ Transfomer,Power Convertion Board,No,5500.00,6325.00,PHYSIO CONTROL,Active,0.00,0,509
BP0001,Batteries/ UPS,Rechargeable Battery,No,1100.00,1265.00,S&W/Innomed,Active,0.00,0,510
BP0011,Equipment Specific Parts,Manometer With Pointer,No,498.50,573.28,Sechrist,Active,0.00,0,511
BP0023,PPM/ Service/Maintenance/ Repair Kits,Ppm Kit,No,2850.00,3277.50,ULCO,Active,0.00,0,512
BP0028,Transducers/ Probes,O2 STAINLESS STEEL OXY PROBE REMOTE O2,No,65.00,74.75,ULCO,Active,0.00,10,513
BP0010,Electronic Components,Patient Relay,No,300.00,345.00,HEWLETT PACKARD,Active,0.00,0,514
BP0024,Printed Circuit Boards (PCB; Other than Power Supply),Mother Board Unit,No,38.00,43.70,SUZUKEN,Active,0.00,0,515
BP0001,Batteries/ UPS,Battery 9.6V 1100mAH w/out connector,No,80.00,92.00,Fukuda,Active,0.00,0,516
BP0001,Batteries/ UPS,Battery for Entral feeding,No,80.00,92.00,KANGAROO,Active,0.00,8,517
BP0010,Electronic Components,Relay Solid State,No,40.00,46.00,BAXTER,Active,0.00,0,518
BP0004,Cables/ Lead Wires (or any part of it),Patient Cable,No,276.10,317.52,BAXTER,Active,0.00,0,519
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,DATASCOPE BEZEL FRONT HIGHT ASSEMBLY 0380-00-0359-04,No,388.00,446.20,Datascope,Active,0.00,0,520
BP0004,Cables/ Lead Wires (or any part of it),Spo2 Adaptor Cable,No,1800.00,2070.00,S&W,Active,0.00,0,521
BP0012,Filters,"AMEDA, 7 Shut Off Filter",No,7.00,8.05,"AMEDA, Egnell",Active,0.00,45,522
BP0004,Cables/ Lead Wires (or any part of it),Extension Cable,No,670.00,770.50,NOVAMETRIX,Active,0.00,0,523
BP0004,Cables/ Lead Wires (or any part of it),Connector Cable (Db-9/Oxysnap),No,350.00,402.50,NOVAMETRIX,Active,0.00,0,524
BP0023,PPM/ Service/Maintenance/ Repair Kits,SECHRIST Ppm Service Kit,No,10.00,11.50,SECHRIST,Active,0.00,1,525
BP0017,Membranes,Membrane Sheet,No,70.00,80.50,TOP,Active,0.00,0,526
BP0003,Bulbs/ Lamps,Bulb OSRAM 5001BA15s 6V 10W,No,24.00,27.60,LEITZ,Active,0.00,7,527
BP0003,Bulbs/ Lamps,Bulb 24V 40W,No,77.00,88.55,DAI-ICHE,Active,0.00,0,528
BP0003,Bulbs/ Lamps,Bulb Halogen 50W 24V,No,18.00,20.70,ANGENIEUX/OSRAM,Active,0.00,0,529
BP0003,Bulbs/ Lamps,Bulb 24v 100w,No,50.00,57.50,Angineuze,Active,0.00,0,530
BP0011,Equipment Specific Parts,Ic,No,182.00,209.30,HEWLETT PACKARD,Active,0.00,1,531
BP0011,Equipment Specific Parts,AIR SHIELD Grommet Access,No,120.00,138.00,Air Shields,Active,0.00,7,532
BP0011,Equipment Specific Parts,AIR SHIELD Iris Sleeve (Pack Of 4),No,18.00,20.70,Air Shields,Active,0.00,18,533
BP0011,Equipment Specific Parts,Htc Protection Sheild For Hps 101,No,18.00,20.70,Chemopharm,Active,0.00,0,534
BP0027,Switchs/ Knobs/Buttons,MEDELA DOUBLE ROCKER SWITCH MADELA,No,70.00,80.50,Chemopharm,Active,0.00,1,535
BP0016,Mechanical Components,MEDELA SQUARE NUT MADELA,No,18.00,20.70,Milestone,Active,0.00,1,536
BP0020,Paddles/ Wheels/ Castors/Brakes,CASTOR WHEEL WITH SCREW HEAD 2,No,3.50,4.03,Press Mate,Active,0.00,0,537
BP0028,Transducers/ Probes,CARDIOTOCOGRAPH 1.5Mhz Ultrasound Transducer (Yellow),No,2398.00,2757.70,Oxford Instrument,Active,0.00,2,538
