HCPCS_and_CPT_Code,DME_Supplier_Services_MUE_Values,MUE_Adjudication_Indicator,MUE_Rationale
E2329,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2330,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2331,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2340,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2341,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2342,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2343,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2351,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2358,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2359,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2360,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E2361,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2362,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E2363,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2364,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E2365,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2366,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2367,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2368,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2369,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2370,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2371,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2372,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E2373,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2374,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2375,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2376,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2377,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2378,2,3 Date of Service Edit: Clinical,Nature of Equipment
E2381,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2382,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2383,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2384,4,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2385,4,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2386,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2387,4,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2388,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2389,4,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2390,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2391,4,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2392,4,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2394,2,2 Date of Service Edit: Policy,Nature of Equipment
E2395,4,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2396,4,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2397,1,3 Date of Service Edit: Clinical,Nature of Equipment
E2398,1,3 Date of Service Edit: Clinical,Nature of Equipment
E2402,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2500,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2502,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2504,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2506,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2508,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2510,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2511,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2512,1,3 Date of Service Edit: Clinical,Nature of Equipment
E2601,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2602,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2603,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2604,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2605,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2606,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2607,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2608,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2609,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2610,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E2611,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2612,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2613,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2614,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2615,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2616,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2617,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2619,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2620,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2621,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2622,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2623,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2624,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2625,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2626,2,2 Date of Service Edit: Policy,Anatomic Consideration
E2627,2,2 Date of Service Edit: Policy,Anatomic Consideration
E2628,2,2 Date of Service Edit: Policy,Anatomic Consideration
E2629,2,2 Date of Service Edit: Policy,Anatomic Consideration
E2630,2,2 Date of Service Edit: Policy,Anatomic Consideration
E2631,2,2 Date of Service Edit: Policy,Anatomic Consideration
E2632,2,2 Date of Service Edit: Policy,Anatomic Consideration
E2633,2,2 Date of Service Edit: Policy,Anatomic Consideration
E8000,0,3 Date of Service Edit: Clinical,CMS Policy
E8001,0,3 Date of Service Edit: Clinical,CMS Policy
E8002,0,3 Date of Service Edit: Clinical,CMS Policy
G0333,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
J0120,0,3 Date of Service Edit: Clinical,CMS Policy
J0129,0,3 Date of Service Edit: Clinical,CMS Policy
J0130,0,3 Date of Service Edit: Clinical,CMS Policy
J0131,0,3 Date of Service Edit: Clinical,CMS Policy
J0132,0,3 Date of Service Edit: Clinical,CMS Policy
J0133,3600,3 Date of Service Edit: Clinical,Clinical: Data
J0135,0,3 Date of Service Edit: Clinical,CMS Policy
J0153,0,3 Date of Service Edit: Clinical,CMS Policy
J0171,0,3 Date of Service Edit: Clinical,CMS Policy
J0178,0,3 Date of Service Edit: Clinical,CMS Policy
J0180,0,3 Date of Service Edit: Clinical,CMS Policy
J0190,0,3 Date of Service Edit: Clinical,Drug discontinued
J0200,0,3 Date of Service Edit: Clinical,Drug discontinued
J0202,0,3 Date of Service Edit: Clinical,CMS Policy
J0205,0,3 Date of Service Edit: Clinical,Drug discontinued
J0207,0,3 Date of Service Edit: Clinical,CMS Policy
J0210,0,3 Date of Service Edit: Clinical,CMS Policy
J0215,0,3 Date of Service Edit: Clinical,CMS Policy
J0220,0,3 Date of Service Edit: Clinical,CMS Policy
J0221,0,3 Date of Service Edit: Clinical,CMS Policy
J0256,0,3 Date of Service Edit: Clinical,CMS Policy
J0257,0,3 Date of Service Edit: Clinical,CMS Policy
J0270,0,3 Date of Service Edit: Clinical,CMS Policy
J0275,0,3 Date of Service Edit: Clinical,CMS Policy
J0278,0,3 Date of Service Edit: Clinical,CMS Policy
J0280,0,3 Date of Service Edit: Clinical,CMS Policy
J0282,0,3 Date of Service Edit: Clinical,CMS Policy
J0285,30,3 Date of Service Edit: Clinical,Clinical: Data
J0287,300,3 Date of Service Edit: Clinical,Clinical: Data
J0288,0,3 Date of Service Edit: Clinical,Drug discontinued
J0289,150,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J0290,0,3 Date of Service Edit: Clinical,CMS Policy
J0295,0,3 Date of Service Edit: Clinical,CMS Policy
J0300,0,3 Date of Service Edit: Clinical,CMS Policy
J0330,0,3 Date of Service Edit: Clinical,CMS Policy
J0348,0,3 Date of Service Edit: Clinical,CMS Policy
J0350,0,3 Date of Service Edit: Clinical,Drug discontinued
J0360,0,3 Date of Service Edit: Clinical,CMS Policy
J0364,0,3 Date of Service Edit: Clinical,CMS Policy
J0365,0,3 Date of Service Edit: Clinical,Drug discontinued
J0380,0,3 Date of Service Edit: Clinical,CMS Policy
J0390,0,3 Date of Service Edit: Clinical,Drug discontinued
J0395,0,3 Date of Service Edit: Clinical,Drug discontinued
J0400,0,3 Date of Service Edit: Clinical,CMS Policy
J0401,0,3 Date of Service Edit: Clinical,CMS Policy
J0456,0,3 Date of Service Edit: Clinical,CMS Policy
J0461,0,3 Date of Service Edit: Clinical,CMS Policy
J0470,0,3 Date of Service Edit: Clinical,CMS Policy
J0475,0,3 Date of Service Edit: Clinical,CMS Policy
J0476,0,3 Date of Service Edit: Clinical,CMS Policy
J0480,0,3 Date of Service Edit: Clinical,CMS Policy
J0485,0,3 Date of Service Edit: Clinical,CMS Policy
J0490,0,3 Date of Service Edit: Clinical,CMS Policy
J0500,0,3 Date of Service Edit: Clinical,CMS Policy
J0515,0,3 Date of Service Edit: Clinical,CMS Policy
J0520,0,3 Date of Service Edit: Clinical,Drug discontinued
J0558,0,3 Date of Service Edit: Clinical,CMS Policy
J0561,0,3 Date of Service Edit: Clinical,CMS Policy
J0565,0,3 Date of Service Edit: Clinical,CMS Policy
J0570,0,3 Date of Service Edit: Clinical,CMS Policy
J0571,0,3 Date of Service Edit: Clinical,CMS Policy
J0572,0,3 Date of Service Edit: Clinical,CMS Policy
J0573,0,3 Date of Service Edit: Clinical,CMS Policy
J0574,0,3 Date of Service Edit: Clinical,CMS Policy
J0575,0,3 Date of Service Edit: Clinical,CMS Policy
J0583,0,3 Date of Service Edit: Clinical,CMS Policy
J0585,0,3 Date of Service Edit: Clinical,CMS Policy
J0586,0,3 Date of Service Edit: Clinical,CMS Policy
J0587,0,3 Date of Service Edit: Clinical,CMS Policy
J0588,0,3 Date of Service Edit: Clinical,CMS Policy
J0592,0,3 Date of Service Edit: Clinical,CMS Policy
J0594,0,3 Date of Service Edit: Clinical,CMS Policy
J0595,0,3 Date of Service Edit: Clinical,CMS Policy
J0596,0,3 Date of Service Edit: Clinical,CMS Policy
J0597,0,3 Date of Service Edit: Clinical,CMS Policy
J0598,0,3 Date of Service Edit: Clinical,CMS Policy
J0600,0,3 Date of Service Edit: Clinical,CMS Policy
J0606,0,3 Date of Service Edit: Clinical,CMS Policy
J0610,0,3 Date of Service Edit: Clinical,CMS Policy
J0620,0,3 Date of Service Edit: Clinical,CMS Policy
J0630,0,3 Date of Service Edit: Clinical,CMS Policy
J0636,0,3 Date of Service Edit: Clinical,CMS Policy
J0637,0,3 Date of Service Edit: Clinical,CMS Policy
J0638,0,3 Date of Service Edit: Clinical,CMS Policy
J0640,0,3 Date of Service Edit: Clinical,CMS Policy
J0641,0,3 Date of Service Edit: Clinical,CMS Policy
J0670,0,3 Date of Service Edit: Clinical,CMS Policy
J0690,0,3 Date of Service Edit: Clinical,CMS Policy
J0692,0,3 Date of Service Edit: Clinical,CMS Policy
J0694,0,3 Date of Service Edit: Clinical,CMS Policy
J0695,0,3 Date of Service Edit: Clinical,CMS Policy
J0696,0,3 Date of Service Edit: Clinical,CMS Policy
J0697,0,3 Date of Service Edit: Clinical,CMS Policy
J0698,0,3 Date of Service Edit: Clinical,CMS Policy
J0702,0,3 Date of Service Edit: Clinical,CMS Policy
J0706,0,3 Date of Service Edit: Clinical,CMS Policy
J0710,0,3 Date of Service Edit: Clinical,Drug discontinued
J0712,0,3 Date of Service Edit: Clinical,CMS Policy
J0713,0,3 Date of Service Edit: Clinical,CMS Policy
J0714,0,3 Date of Service Edit: Clinical,CMS Policy
J0715,0,3 Date of Service Edit: Clinical,Drug discontinued
J0716,0,3 Date of Service Edit: Clinical,CMS Policy
J0717,0,3 Date of Service Edit: Clinical,CMS Policy
J0720,0,3 Date of Service Edit: Clinical,CMS Policy
J0725,0,3 Date of Service Edit: Clinical,CMS Policy
J0735,0,3 Date of Service Edit: Clinical,CMS Policy
J0740,0,3 Date of Service Edit: Clinical,CMS Policy
J0743,0,3 Date of Service Edit: Clinical,CMS Policy
J0744,0,3 Date of Service Edit: Clinical,CMS Policy
J0745,0,3 Date of Service Edit: Clinical,CMS Policy
J0770,0,3 Date of Service Edit: Clinical,CMS Policy
J0775,0,3 Date of Service Edit: Clinical,CMS Policy
J0780,0,3 Date of Service Edit: Clinical,CMS Policy
J0795,0,3 Date of Service Edit: Clinical,CMS Policy
J0800,0,3 Date of Service Edit: Clinical,CMS Policy
J0834,0,3 Date of Service Edit: Clinical,CMS Policy
J0840,0,3 Date of Service Edit: Clinical,CMS Policy
J0850,0,3 Date of Service Edit: Clinical,CMS Policy
J0875,0,3 Date of Service Edit: Clinical,CMS Policy
J0878,0,3 Date of Service Edit: Clinical,CMS Policy
J0881,0,3 Date of Service Edit: Clinical,CMS Policy
J0882,0,3 Date of Service Edit: Clinical,CMS Policy
J0883,0,3 Date of Service Edit: Clinical,CMS Policy
J0884,0,3 Date of Service Edit: Clinical,CMS Policy
J0885,0,3 Date of Service Edit: Clinical,CMS Policy
J0887,0,3 Date of Service Edit: Clinical,CMS Policy
J0888,0,3 Date of Service Edit: Clinical,CMS Policy
J0890,0,3 Date of Service Edit: Clinical,Drug discontinued
J0894,0,3 Date of Service Edit: Clinical,CMS Policy
J0895,212,3 Date of Service Edit: Clinical,Clinical: Data
J0897,0,3 Date of Service Edit: Clinical,CMS Policy
J0945,0,3 Date of Service Edit: Clinical,CMS Policy
J1000,0,3 Date of Service Edit: Clinical,CMS Policy
J1020,0,3 Date of Service Edit: Clinical,CMS Policy
J1030,0,3 Date of Service Edit: Clinical,CMS Policy
J1040,0,3 Date of Service Edit: Clinical,CMS Policy
J1050,0,3 Date of Service Edit: Clinical,CMS Policy
J1071,0,3 Date of Service Edit: Clinical,CMS Policy
J1094,0,3 Date of Service Edit: Clinical,Drug discontinued
J1100,0,3 Date of Service Edit: Clinical,CMS Policy
J1110,0,3 Date of Service Edit: Clinical,CMS Policy
J1120,0,3 Date of Service Edit: Clinical,CMS Policy
J1130,0,3 Date of Service Edit: Clinical,CMS Policy
J1160,0,3 Date of Service Edit: Clinical,CMS Policy
J1162,0,3 Date of Service Edit: Clinical,CMS Policy
J1165,0,3 Date of Service Edit: Clinical,CMS Policy
J1170,2500,3 Date of Service Edit: Clinical,Clinical: Data
J1180,0,3 Date of Service Edit: Clinical,Drug discontinued
J1190,0,3 Date of Service Edit: Clinical,CMS Policy
J1200,0,3 Date of Service Edit: Clinical,CMS Policy
J1205,0,3 Date of Service Edit: Clinical,CMS Policy
J1212,0,3 Date of Service Edit: Clinical,CMS Policy
J1230,0,3 Date of Service Edit: Clinical,CMS Policy
J1240,0,3 Date of Service Edit: Clinical,CMS Policy
J1245,0,3 Date of Service Edit: Clinical,CMS Policy
J1250,60,3 Date of Service Edit: Clinical,Clinical: Data
J1260,0,3 Date of Service Edit: Clinical,CMS Policy
J1265,230,3 Date of Service Edit: Clinical,Clinical: Data
J1267,0,3 Date of Service Edit: Clinical,CMS Policy
J1270,0,3 Date of Service Edit: Clinical,CMS Policy
J1290,0,3 Date of Service Edit: Clinical,CMS Policy
J1300,0,3 Date of Service Edit: Clinical,CMS Policy
J1320,0,3 Date of Service Edit: Clinical,Drug discontinued
J1322,0,3 Date of Service Edit: Clinical,CMS Policy
J1324,0,3 Date of Service Edit: Clinical,CMS Policy
J1325,810,3 Date of Service Edit: Clinical,Clinical: Data
J1327,0,3 Date of Service Edit: Clinical,CMS Policy
J1330,0,3 Date of Service Edit: Clinical,CMS Policy
J1335,0,3 Date of Service Edit: Clinical,CMS Policy
J1364,0,3 Date of Service Edit: Clinical,CMS Policy
J1380,0,3 Date of Service Edit: Clinical,CMS Policy
J1410,0,3 Date of Service Edit: Clinical,CMS Policy
J1428,0,3 Date of Service Edit: Clinical,CMS Policy
J1430,0,3 Date of Service Edit: Clinical,CMS Policy
J1435,0,3 Date of Service Edit: Clinical,CMS Policy
J1436,0,3 Date of Service Edit: Clinical,Drug discontinued
J1438,0,3 Date of Service Edit: Clinical,CMS Policy
J1439,0,3 Date of Service Edit: Clinical,CMS Policy
J1442,0,3 Date of Service Edit: Clinical,CMS Policy
J1443,0,3 Date of Service Edit: Clinical,CMS Policy
J1447,0,3 Date of Service Edit: Clinical,CMS Policy
J1450,0,3 Date of Service Edit: Clinical,CMS Policy
J1451,0,3 Date of Service Edit: Clinical,CMS Policy
J1452,0,3 Date of Service Edit: Clinical,Drug discontinued
J1453,0,3 Date of Service Edit: Clinical,CMS Policy
J1455,90,3 Date of Service Edit: Clinical,Clinical: Data
J1457,0,3 Date of Service Edit: Clinical,Drug discontinued
J1458,0,3 Date of Service Edit: Clinical,CMS Policy
J1459,300,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J1460,0,3 Date of Service Edit: Clinical,CMS Policy
J1555,1500,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J1556,300,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J1557,300,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J1558,1500,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J1559,1500,3 Date of Service Edit: Clinical,Clinical: Data
J1560,0,3 Date of Service Edit: Clinical,CMS Policy
J1561,300,3 Date of Service Edit: Clinical,Clinical: Data
J1562,0,3 Date of Service Edit: Clinical,Drug discontinued
J1566,300,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J1568,300,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J1569,300,3 Date of Service Edit: Clinical,Clinical: Data
J1570,18,3 Date of Service Edit: Clinical,Clinical: Data
J1571,0,3 Date of Service Edit: Clinical,CMS Policy
J1572,300,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J1573,0,3 Date of Service Edit: Clinical,CMS Policy
J1575,900,3 Date of Service Edit: Clinical,Clinical: Data
J1580,0,3 Date of Service Edit: Clinical,CMS Policy
J1595,0,3 Date of Service Edit: Clinical,CMS Policy
J1599,300,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J1600,0,3 Date of Service Edit: Clinical,CMS Policy
J1602,0,3 Date of Service Edit: Clinical,CMS Policy
J1610,0,3 Date of Service Edit: Clinical,CMS Policy
J1620,0,3 Date of Service Edit: Clinical,Drug discontinued
J1626,0,3 Date of Service Edit: Clinical,CMS Policy
J1627,0,3 Date of Service Edit: Clinical,CMS Policy
J1630,0,3 Date of Service Edit: Clinical,CMS Policy
J1631,0,3 Date of Service Edit: Clinical,CMS Policy
J1640,0,3 Date of Service Edit: Clinical,CMS Policy
J1642,0,3 Date of Service Edit: Clinical,CMS Policy
J1644,0,3 Date of Service Edit: Clinical,CMS Policy
J1645,0,3 Date of Service Edit: Clinical,CMS Policy
J1650,0,3 Date of Service Edit: Clinical,CMS Policy
J1652,0,3 Date of Service Edit: Clinical,CMS Policy
J1655,0,3 Date of Service Edit: Clinical,Drug discontinued
J1670,0,3 Date of Service Edit: Clinical,CMS Policy
J1675,0,3 Date of Service Edit: Clinical,Drug discontinued
J1700,0,3 Date of Service Edit: Clinical,Drug discontinued
J1710,0,3 Date of Service Edit: Clinical,Drug discontinued
J1720,0,3 Date of Service Edit: Clinical,CMS Policy
J1726,0,3 Date of Service Edit: Clinical,CMS Policy
J1729,0,3 Date of Service Edit: Clinical,CMS Policy
J1730,0,3 Date of Service Edit: Clinical,Drug discontinued
J1740,0,3 Date of Service Edit: Clinical,CMS Policy
J1741,0,3 Date of Service Edit: Clinical,CMS Policy
J1742,0,3 Date of Service Edit: Clinical,CMS Policy
J1743,0,3 Date of Service Edit: Clinical,CMS Policy
J1744,0,3 Date of Service Edit: Clinical,CMS Policy
J1745,0,3 Date of Service Edit: Clinical,CMS Policy
J1750,0,3 Date of Service Edit: Clinical,CMS Policy
J1756,0,3 Date of Service Edit: Clinical,CMS Policy
J1786,0,3 Date of Service Edit: Clinical,CMS Policy
J1790,0,3 Date of Service Edit: Clinical,CMS Policy
J1800,0,3 Date of Service Edit: Clinical,CMS Policy
J1810,0,3 Date of Service Edit: Clinical,Drug discontinued
J1815,0,3 Date of Service Edit: Clinical,CMS Policy
J1817,270,3 Date of Service Edit: Clinical,Prescribing Information
J1826,0,3 Date of Service Edit: Clinical,CMS Policy
J1830,0,3 Date of Service Edit: Clinical,CMS Policy
J1833,0,3 Date of Service Edit: Clinical,CMS Policy
J1835,0,3 Date of Service Edit: Clinical,Drug discontinued
J1840,0,3 Date of Service Edit: Clinical,CMS Policy
J1850,0,3 Date of Service Edit: Clinical,CMS Policy
J1885,0,3 Date of Service Edit: Clinical,CMS Policy
J1890,0,3 Date of Service Edit: Clinical,Drug discontinued
J1930,0,3 Date of Service Edit: Clinical,CMS Policy
J1931,0,3 Date of Service Edit: Clinical,CMS Policy
J1940,0,3 Date of Service Edit: Clinical,CMS Policy
J1945,0,3 Date of Service Edit: Clinical,Drug discontinued
J1950,0,3 Date of Service Edit: Clinical,CMS Policy
J1953,0,3 Date of Service Edit: Clinical,CMS Policy
J1955,0,3 Date of Service Edit: Clinical,CMS Policy
J1956,0,3 Date of Service Edit: Clinical,CMS Policy
J1960,0,3 Date of Service Edit: Clinical,Drug discontinued
J1980,0,3 Date of Service Edit: Clinical,CMS Policy
J1990,0,3 Date of Service Edit: Clinical,Drug discontinued
J2001,0,3 Date of Service Edit: Clinical,CMS Policy
J2010,0,3 Date of Service Edit: Clinical,CMS Policy
J2020,0,3 Date of Service Edit: Clinical,CMS Policy
J2060,0,3 Date of Service Edit: Clinical,CMS Policy
J2150,0,3 Date of Service Edit: Clinical,CMS Policy
J2170,0,3 Date of Service Edit: Clinical,CMS Policy
J2175,0,3 Date of Service Edit: Clinical,Published Contractor Policy
J2180,0,3 Date of Service Edit: Clinical,Drug discontinued
J2182,0,3 Date of Service Edit: Clinical,CMS Policy
J2185,0,3 Date of Service Edit: Clinical,CMS Policy
J2210,0,3 Date of Service Edit: Clinical,CMS Policy
J2212,0,3 Date of Service Edit: Clinical,CMS Policy
J2248,0,3 Date of Service Edit: Clinical,CMS Policy
J2250,0,3 Date of Service Edit: Clinical,CMS Policy
J2260,252,3 Date of Service Edit: Clinical,Clinical: Data
J2265,0,3 Date of Service Edit: Clinical,CMS Policy
J2270,320,3 Date of Service Edit: Clinical,Clinical: Data
J2274,0,3 Date of Service Edit: Clinical,CMS Policy
J2278,999,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J2280,0,3 Date of Service Edit: Clinical,CMS Policy
J2300,0,3 Date of Service Edit: Clinical,CMS Policy
J2310,0,3 Date of Service Edit: Clinical,CMS Policy
J2315,0,3 Date of Service Edit: Clinical,CMS Policy
J2320,0,3 Date of Service Edit: Clinical,CMS Policy
J2323,0,3 Date of Service Edit: Clinical,CMS Policy
J2325,0,3 Date of Service Edit: Clinical,CMS Policy
J2326,0,3 Date of Service Edit: Clinical,CMS Policy
J2350,0,3 Date of Service Edit: Clinical,CMS Policy
J2353,0,3 Date of Service Edit: Clinical,CMS Policy
J2354,0,3 Date of Service Edit: Clinical,Published Contractor Policy
J2355,0,3 Date of Service Edit: Clinical,CMS Policy
J2357,0,3 Date of Service Edit: Clinical,CMS Policy
J2358,0,3 Date of Service Edit: Clinical,CMS Policy
J2360,0,3 Date of Service Edit: Clinical,CMS Policy
J2370,0,3 Date of Service Edit: Clinical,CMS Policy
J2400,0,3 Date of Service Edit: Clinical,CMS Policy
J2405,0,3 Date of Service Edit: Clinical,CMS Policy
J2407,0,3 Date of Service Edit: Clinical,CMS Policy
J2410,0,3 Date of Service Edit: Clinical,CMS Policy
J2425,0,3 Date of Service Edit: Clinical,CMS Policy
J2426,0,3 Date of Service Edit: Clinical,CMS Policy
J2430,0,3 Date of Service Edit: Clinical,CMS Policy
J2440,0,3 Date of Service Edit: Clinical,CMS Policy
J2460,0,3 Date of Service Edit: Clinical,Drug discontinued
J2469,0,3 Date of Service Edit: Clinical,CMS Policy
J2501,0,3 Date of Service Edit: Clinical,CMS Policy
J2502,0,3 Date of Service Edit: Clinical,CMS Policy
J2503,0,3 Date of Service Edit: Clinical,CMS Policy
J2504,0,3 Date of Service Edit: Clinical,CMS Policy
J2507,0,3 Date of Service Edit: Clinical,CMS Policy
J2510,0,3 Date of Service Edit: Clinical,CMS Policy
J2513,0,3 Date of Service Edit: Clinical,CMS Policy
J2515,0,3 Date of Service Edit: Clinical,CMS Policy
J2540,0,3 Date of Service Edit: Clinical,CMS Policy
J2543,0,3 Date of Service Edit: Clinical,CMS Policy
J2545,3,3 Date of Service Edit: Clinical,Prescribing Information
J2547,0,3 Date of Service Edit: Clinical,CMS Policy
J2550,0,3 Date of Service Edit: Clinical,CMS Policy
J2560,0,3 Date of Service Edit: Clinical,CMS Policy
J2562,0,3 Date of Service Edit: Clinical,CMS Policy
J2590,0,3 Date of Service Edit: Clinical,CMS Policy
J2597,0,3 Date of Service Edit: Clinical,CMS Policy
J2650,0,3 Date of Service Edit: Clinical,Drug discontinued
J2670,0,3 Date of Service Edit: Clinical,Drug discontinued
J2675,0,3 Date of Service Edit: Clinical,CMS Policy
J2680,0,3 Date of Service Edit: Clinical,CMS Policy
J2690,0,3 Date of Service Edit: Clinical,CMS Policy
J2700,0,3 Date of Service Edit: Clinical,CMS Policy
J2704,0,3 Date of Service Edit: Clinical,CMS Policy
J2710,0,3 Date of Service Edit: Clinical,CMS Policy
J2720,0,3 Date of Service Edit: Clinical,CMS Policy
J2724,0,3 Date of Service Edit: Clinical,CMS Policy
J2725,0,3 Date of Service Edit: Clinical,Drug discontinued
J2730,0,3 Date of Service Edit: Clinical,CMS Policy
J2760,0,3 Date of Service Edit: Clinical,CMS Policy
J2765,0,3 Date of Service Edit: Clinical,CMS Policy
J2770,0,3 Date of Service Edit: Clinical,CMS Policy
J2778,0,3 Date of Service Edit: Clinical,CMS Policy
J2780,0,3 Date of Service Edit: Clinical,CMS Policy
J2783,0,3 Date of Service Edit: Clinical,CMS Policy
J2785,0,3 Date of Service Edit: Clinical,CMS Policy
J2786,0,3 Date of Service Edit: Clinical,CMS Policy
J2788,0,3 Date of Service Edit: Clinical,CMS Policy
J2790,0,3 Date of Service Edit: Clinical,CMS Policy
J2791,0,3 Date of Service Edit: Clinical,CMS Policy
J2792,0,3 Date of Service Edit: Clinical,CMS Policy
J2793,0,3 Date of Service Edit: Clinical,CMS Policy
J2794,0,3 Date of Service Edit: Clinical,CMS Policy
J2795,0,3 Date of Service Edit: Clinical,CMS Policy
J2796,0,3 Date of Service Edit: Clinical,CMS Policy
J2800,0,3 Date of Service Edit: Clinical,CMS Policy
J2805,0,3 Date of Service Edit: Clinical,CMS Policy
J2810,0,3 Date of Service Edit: Clinical,CMS Policy
J2820,0,3 Date of Service Edit: Clinical,CMS Policy
J2840,0,3 Date of Service Edit: Clinical,CMS Policy
J2850,0,3 Date of Service Edit: Clinical,CMS Policy
J2860,0,3 Date of Service Edit: Clinical,CMS Policy
J2910,0,3 Date of Service Edit: Clinical,Drug discontinued
J2916,0,3 Date of Service Edit: Clinical,CMS Policy
